flok_year,year,gensex,meanAgeR,meanRec,meanAge,meanW,meanS,flok,mean.pop,rel.pop
20 1999,1999,f,1,0.8,1,1.4,1,20,-0.714617411056216,-0.041207783161443
20 1999,1999,m,2.625,1,2.375,1.125,0.625,20,-0.714617411056216,-0.041207783161443
20 2000,2000,f,2,0.25,1.66666666666667,0.708333333333333,0.583333333333333,20,-0.714617411056216,0.162770743487698
20 2000,2000,m,2.66666666666667,0.214285714285714,1.21428571428571,0.821428571428571,0.714285714285714,20,-0.714617411056216,0.162770743487698
20 2001,2001,f,1.5,0.2,1.7,0.6,0.5,20,-0.714617411056216,0.117442182010111
20 2001,2001,m,1,0.230769230769231,1.38461538461538,0.884615384615385,0.769230769230769,20,-0.714617411056216,0.117442182010111
20 2002,2002,f,2.5,0.333333333333333,2.33333333333333,0.5,0.333333333333333,20,-0.714617411056216,0.072113620532524
20 2002,2002,m,0.666666666666667,0.2,1.2,0.433333333333333,0.333333333333333,20,-0.714617411056216,0.072113620532524
20 2003,2003,m,1,0.125,0.75,0.8125,0.75,20,-0.714617411056216,-0.154529186855409
20 2004,2004,f,0.5,0.333333333333333,0.833333333333333,0.666666666666667,0.5,20,-0.714617411056216,0.026785059054938
20 2004,2004,m,1.25,0.444444444444444,1.22222222222222,0.777777777777778,0.555555555555556,20,-0.714617411056216,0.026785059054938
20 2005,2005,f,0.666666666666667,0.25,0.416666666666667,0.375,0.25,20,-0.714617411056216,0.185435024226491
20 2005,2005,m,1.75,0.363636363636364,1.09090909090909,0.636363636363636,0.454545454545455,20,-0.714617411056216,0.185435024226491
20 2006,2006,f,1.2,0.555555555555556,0.555555555555556,0.611111111111111,0.333333333333333,20,-0.714617411056216,0.004120778316144
20 2006,2006,m,2,0.833333333333333,1.5,1.25,0.833333333333333,20,-0.714617411056216,0.004120778316144
20 2007,2007,m,1,0.428571428571429,1.71428571428571,0.785714285714286,0.571428571428571,20,-0.714617411056216,-0.154529186855409
20 2008,2008,f,0.6,0.714285714285714,0.857142857142857,0.928571428571429,0.571428571428571,20,-0.714617411056216,0.004120778316144
20 2008,2008,m,1.5,0.333333333333333,2.16666666666667,0.666666666666667,0.5,20,-0.714617411056216,0.004120778316144
20 2009,2009,f,2.15384615384615,2.16666666666667,1.33333333333333,1.75,0.666666666666667,20,-0.714617411056216,-0.109200625377822
20 2009,2009,m,0.416666666666667,1.71428571428571,1.42857142857143,1,0.142857142857143,20,-0.714617411056216,-0.109200625377822
20 2010,2010,f,2,1.1,1,1.25,0.7,20,-0.714617411056216,-0.086536344639029
20 2010,2010,m,0.666666666666667,1.5,0.5,0.75,0,20,-0.714617411056216,-0.086536344639029
20 2011,2011,f,2.5,0.5,1.33333333333333,0.75,0.5,20,-0.714617411056216,0.321420708659251
20 2012,2012,f,2.75,0.333333333333333,1.16666666666667,0.333333333333333,0.166666666666667,20,-0.714617411056216,0.049449339793731
22 2004,2004,m,1,0.4,1.4,0.9,0.7,22,-0.657956709209233,0.038117199424334
22 2006,2006,f,2,0.4,1,0.6,0.4,22,-0.657956709209233,0.083445760901921
22 2006,2006,m,3.66666666666667,0.272727272727273,2.18181818181818,0.772727272727273,0.636363636363636,22,-0.657956709209233,0.083445760901921
22 2007,2007,m,4,0.222222222222222,2.44444444444444,0.111111111111111,0,22,-0.657956709209233,0.196767164595888
22 2008,2008,f,2,0.285714285714286,1.14285714285714,0.571428571428571,0.428571428571429,22,-0.657956709209233,-0.052539923530839
22 2009,2009,f,1.75,0.8,1.4,0.6,0.2,22,-0.657956709209233,-0.233854169441186
22 2009,2009,m,0.714285714285714,1.75,0.25,1.375,0.5,22,-0.657956709209233,-0.233854169441186
22 2010,2010,f,0.666666666666667,1.5,0.5,1.5,0.75,22,-0.657956709209233,-0.029875642792046
22 2010,2010,m,0.222222222222222,1.125,0.375,1.1875,0.625,22,-0.657956709209233,-0.029875642792046
22 2011,2011,f,0.375,0.8,0.5,1,0.6,22,-0.657956709209233,0.083445760901921
22 2011,2011,m,0.818181818181818,1,0.636363636363636,0.863636363636364,0.363636363636364,22,-0.657956709209233,0.083445760901921
23 2005,2005,f,0.5,0.782608695652174,0.260869565217391,0.869565217391304,0.478260869565217,23,0.06833046901119,0.037087004845298
23 2005,2005,m,0.5,0.285714285714286,0.5,0.357142857142857,0.214285714285714,23,0.06833046901119,0.037087004845298
23 2006,2006,f,0.5625,0.666666666666667,0.583333333333333,0.958333333333333,0.625,23,0.06833046901119,0.490372619621165
23 2006,2006,m,0.461538461538462,0.722222222222222,0.277777777777778,0.972222222222222,0.611111111111111,23,0.06833046901119,0.490372619621165
23 2007,2007,f,1.2,0.37037037037037,0.925925925925926,0.407407407407407,0.222222222222222,23,0.06833046901119,0.807672549964272
23 2007,2007,m,0.4,0.2,0.48,0.22,0.12,23,0.06833046901119,0.807672549964272
23 2008,2008,f,0.272727272727273,0.6875,0.75,0.96875,0.625,23,0.06833046901119,-0.620177136579709
23 2008,2008,m,1.2,0.454545454545455,0.454545454545455,0.863636363636364,0.636363636363636,23,0.06833046901119,-0.620177136579709
23 2009,2009,f,1.14285714285714,0.368421052631579,0.894736842105263,0.552631578947368,0.368421052631579,23,0.06833046901119,0.037087004845298
23 2010,2010,f,0.766666666666667,2,0.8,1.53333333333333,0.533333333333333,23,0.06833046901119,-0.098898679587462
23 2010,2010,m,1.1304347826087,1.0952380952381,0.761904761904762,1.07142857142857,0.523809523809524,23,0.06833046901119,-0.098898679587462
23 2011,2011,f,0.9,0.24390243902439,0.439024390243902,0.317073170731707,0.195121951219512,23,0.06833046901119,1.30628672621773
23 2011,2011,m,1.23529411764706,0.515151515151515,0.575757575757576,0.772727272727273,0.515151515151515,23,0.06833046901119,1.30628672621773
23 2012,2012,f,0.625,0.8,0.45,0.7,0.3,23,0.06833046901119,0.354386935188405
23 2012,2012,m,1.2,0.657894736842105,0.763157894736842,0.828947368421053,0.5,23,0.06833046901119,0.354386935188405
24 2004,2004,f,0.272727272727273,0.578947368421053,0.368421052631579,0.921052631578947,0.631578947368421,24,0.030213269586856,-0.310088568289854
24 2004,2004,m,0.571428571428571,0.388888888888889,0.444444444444444,0.972222222222222,0.777777777777778,24,0.030213269586856,-0.310088568289854
24 2005,2005,f,1.25,0.166666666666667,0.666666666666667,0.416666666666667,0.333333333333333,24,0.030213269586856,-0.015452918685541
24 2005,2005,m,0.833333333333333,0.222222222222222,0.777777777777778,0.666666666666667,0.555555555555556,24,0.030213269586856,-0.015452918685541
24 2006,2006,f,1.4,0.277777777777778,0.722222222222222,0.916666666666667,0.777777777777778,24,0.030213269586856,-0.151438603118301
24 2006,2006,m,2,0.5,1.27777777777778,0.805555555555556,0.555555555555556,24,0.030213269586856,-0.151438603118301
24 2007,2007,f,1.33333333333333,0.48,0.96,0.68,0.44,24,0.030213269586856,0.120532765747219
24 2007,2007,m,2,0.3,1,0.75,0.6,24,0.030213269586856,0.120532765747219
24 2008,2008,f,1.4,0.208333333333333,0.833333333333333,0.4375,0.333333333333333,24,0.030213269586856,0.800461187911019
24 2008,2008,m,2.36363636363636,0.407407407407407,0.777777777777778,0.796296296296296,0.592592592592593,24,0.030213269586856,0.800461187911019
24 2009,2009,f,1,0.4375,1.125,0.65625,0.4375,24,0.030213269586856,-0.196767164595888
24 2009,2009,m,2.66666666666667,0.15,1.4,0.675,0.6,24,0.030213269586856,-0.196767164595888
24 2010,2010,f,1.04166666666667,2.18181818181818,0.909090909090909,1.81818181818182,0.727272727272727,24,0.030213269586856,0.007211362053252
24 2010,2010,m,1.05,0.8,1.16,1.2,0.8,24,0.030213269586856,0.007211362053252
24 2011,2011,f,0.941176470588235,0.607142857142857,0.607142857142857,0.803571428571429,0.5,24,0.030213269586856,0.800461187911019
24 2011,2011,m,1.92307692307692,0.325,1.175,0.6875,0.525,24,0.030213269586856,0.800461187911019
24 2012,2012,f,0.75,0.714285714285714,0.821428571428571,0.642857142857143,0.285714285714286,24,0.030213269586856,0.641811222739466
24 2012,2012,m,0.875,0.228571428571429,1.2,0.6,0.485714285714286,24,0.030213269586856,0.641811222739466
26 1998,1998,f,0.888888888888889,0.75,0.75,1.20833333333333,0.833333333333333,26,0.77195336649282,-0.462557365987191
26 1998,1998,m,2.0625,0.64,1.08,1.04,0.72,26,0.77195336649282,-0.462557365987191
26 1999,1999,f,1,0.28125,1.09375,0.734375,0.59375,26,0.77195336649282,-0.190585997121671
26 1999,1999,m,1.22222222222222,0.272727272727273,1.21212121212121,0.833333333333333,0.696969696969697,26,0.77195336649282,-0.190585997121671
26 2000,2000,f,1.22222222222222,0.642857142857143,1.5,0.785714285714286,0.464285714285714,26,0.77195336649282,-0.349235962293225
26 2000,2000,m,0.684210526315789,0.575757575757576,1.39393939393939,0.772727272727273,0.484848484848485,26,0.77195336649282,-0.349235962293225
26 2001,2001,f,1.4,0.555555555555556,1.33333333333333,0.722222222222222,0.444444444444444,26,0.77195336649282,-0.621207331158745
26 2001,2001,m,2.08333333333333,0.5,1.58333333333333,0.875,0.625,26,0.77195336649282,-0.621207331158745
26 2002,2002,f,1.2,1.38888888888889,1.22222222222222,1.25,0.555555555555556,26,0.77195336649282,-0.779857296330298
26 2002,2002,m,1.7,0.909090909090909,1.77272727272727,0.818181818181818,0.363636363636364,26,0.77195336649282,-0.779857296330298
26 2003,2003,f,1.57142857142857,0.56,0.76,0.96,0.68,26,0.77195336649282,-0.281243120076845
26 2003,2003,m,1.27272727272727,0.611111111111111,1,0.972222222222222,0.666666666666667,26,0.77195336649282,-0.281243120076845
26 2004,2004,f,1.5625,0.695652173913043,1.39130434782609,0.956521739130435,0.608695652173913,26,0.77195336649282,-0.643871611897538
26 2004,2004,m,1.42857142857143,0.583333333333333,0.875,0.791666666666667,0.5,26,0.77195336649282,-0.643871611897538
26 2005,2005,f,2.0625,0.615384615384615,1.46153846153846,0.884615384615385,0.576923076923077,26,0.77195336649282,-0.643871611897538
26 2005,2005,m,0.857142857142857,0.666666666666667,0.857142857142857,1,0.666666666666667,26,0.77195336649282,-0.643871611897538
26 2006,2006,f,2.95652173913043,0.766666666666667,1.36666666666667,0.983333333333333,0.6,26,0.77195336649282,-0.530550208203571
26 2006,2006,m,0.91304347826087,0.884615384615385,1.03846153846154,1.13461538461538,0.692307692307692,26,0.77195336649282,-0.530550208203571
26 2007,2007,f,0.771428571428571,1,1.22857142857143,1.04285714285714,0.542857142857143,26,0.77195336649282,0.534670986519716
26 2007,2007,m,1.13888888888889,1.02857142857143,1.17142857142857,1.2,0.685714285714286,26,0.77195336649282,0.534670986519716
26 2008,2008,f,0.966666666666667,0.681818181818182,0.863636363636364,0.909090909090909,0.568181818181818,26,0.77195336649282,0.783978074646442
26 2008,2008,m,1.11764705882353,0.68,1.02,0.9,0.56,26,0.77195336649282,0.783978074646442
26 2009,2009,f,1.6875,0.711111111111111,1.06666666666667,0.955555555555556,0.6,26,0.77195336649282,0.466678144303336
26 2009,2009,m,1.56666666666667,0.625,1.20833333333333,0.916666666666667,0.604166666666667,26,0.77195336649282,0.466678144303336
26 2010,2010,f,0.867924528301887,0.929824561403509,0.947368421052632,1.07894736842105,0.614035087719298,26,0.77195336649282,1.12394228572834
26 2010,2010,m,1.03921568627451,1.15909090909091,1.34090909090909,1.19318181818182,0.613636363636364,26,0.77195336649282,1.12394228572834
26 2011,2011,f,1.25,0.776119402985075,1.07462686567164,0.940298507462687,0.552238805970149,26,0.77195336649282,1.30525653163869
26 2011,2011,m,1.41509433962264,0.854838709677419,0.951612903225806,1.05645161290323,0.629032258064516,26,0.77195336649282,1.30525653163869
26 2012,2012,f,1.35897435897436,0.6,1.18461538461538,0.684615384615385,0.384615384615385,26,0.77195336649282,2.48379913005594
26 2012,2012,m,1,0.560975609756098,0.914634146341463,0.817073170731707,0.536585365853659,26,0.77195336649282,2.48379913005594
27 1998,1998,f,0.594594594594595,0.880952380952381,0.619047619047619,0.821428571428571,0.380952380952381,27,2.00509627759898,-0.494493397937309
27 1998,1998,m,1.1304347826087,1,0.478260869565217,1.04347826086957,0.543478260869565,27,2.00509627759898,-0.494493397937309
27 1999,1999,f,0.333333333333333,0.457627118644068,0.423728813559322,0.686440677966102,0.457627118644068,27,2.00509627759898,0.298756427920458
27 1999,1999,m,0.758620689655172,0.46031746031746,0.603174603174603,0.706349206349206,0.476190476190476,27,2.00509627759898,0.298756427920458
27 2000,2000,f,0.9,0.555555555555556,0.796296296296296,0.740740740740741,0.462962962962963,27,2.00509627759898,-0.449164836459722
27 2000,2000,m,1.16216216216216,0.711538461538462,0.903846153846154,0.817307692307692,0.461538461538462,27,2.00509627759898,-0.449164836459722
27 2001,2001,f,1.4,0.263157894736842,0.754385964912281,0.482456140350877,0.350877192982456,27,2.00509627759898,0.004120778316144
27 2001,2001,m,1,0.142857142857143,0.959183673469388,0.520408163265306,0.448979591836735,27,2.00509627759898,0.004120778316144
27 2002,2002,f,1.25,1.28571428571429,1.10714285714286,1.07142857142857,0.428571428571429,27,2.00509627759898,-1.35573606601146
27 2002,2002,m,1.47368421052632,1.11764705882353,1.17647058823529,1.02941176470588,0.470588235294118,27,2.00509627759898,-1.35573606601146
27 2003,2003,f,0.571428571428571,0.682926829268293,0.634146341463415,0.75609756097561,0.414634146341463,27,2.00509627759898,1.09200625377822
27 2003,2003,m,0.793103448275862,0.674418604651163,0.86046511627907,0.802325581395349,0.465116279069767,27,2.00509627759898,1.09200625377822
27 2004,2004,f,0.90625,0.842105263157895,0.736842105263158,1.05263157894737,0.631578947368421,27,2.00509627759898,-1.2197503815787
27 2004,2004,m,1.19512195121951,0.953488372093023,0.930232558139535,1.03488372093023,0.558139534883721,27,2.00509627759898,-1.2197503815787
27 2005,2005,f,0.967741935483871,0.563636363636364,0.654545454545455,0.845454545454545,0.563636363636364,27,2.00509627759898,0.593392077524771
27 2005,2005,m,0.540540540540541,0.616666666666667,0.716666666666667,0.875,0.566666666666667,27,2.00509627759898,0.593392077524771
27 2006,2006,f,0.767441860465116,0.641791044776119,0.791044776119403,0.932835820895522,0.611940298507463,27,2.00509627759898,-0.177193467594202
27 2006,2006,m,1.0952380952381,0.67741935483871,0.967741935483871,1.06451612903226,0.725806451612903,27,2.00509627759898,-0.177193467594202
27 2007,2007,f,1.40816326530612,0.6125,0.9375,0.75625,0.45,27,2.00509627759898,0.820034884912705
27 2007,2007,m,1.09433962264151,0.6625,1.075,0.81875,0.4875,27,2.00509627759898,0.820034884912705
27 2008,2008,f,1.25,0.811594202898551,1.07246376811594,0.927536231884058,0.521739130434783,27,2.00509627759898,0.276092147181664
27 2008,2008,m,1.43859649122807,0.838235294117647,1.14705882352941,0.977941176470588,0.558823529411765,27,2.00509627759898,0.276092147181664
27 2009,2009,f,0.9,1.18421052631579,0.960526315789474,1.09210526315789,0.5,27,2.00509627759898,0.661384919741151
27 2009,2009,m,1.27777777777778,1.13924050632911,0.949367088607595,1.16455696202532,0.594936708860759,27,2.00509627759898,0.661384919741151
27 2010,2010,f,0.851351351351351,0.711538461538462,0.75,1.01923076923077,0.663461538461538,27,2.00509627759898,2.22522029071789
27 2010,2010,m,1.47297297297297,0.747474747474748,0.919191919191919,1.1010101010101,0.727272727272727,27,2.00509627759898,2.22522029071789
27 2011,2011,f,1.06,0.467289719626168,0.990654205607477,0.495327102803738,0.261682242990654,27,2.00509627759898,3.2224486432248
27 2011,2011,m,1.46428571428571,0.448,1.016,0.544,0.32,27,2.00509627759898,3.2224486432248
27 2012,2012,f,1.13636363636364,0.338461538461538,0.846153846153846,0.707692307692308,0.538461538461538,27,2.00509627759898,0.389413550875631
27 2012,2012,m,1.42857142857143,0.430769230769231,1.29230769230769,0.584615384615385,0.369230769230769,27,2.00509627759898,0.389413550875631
28 1998,1998,f,2.35714285714286,0.823529411764706,1.17647058823529,1.05882352941176,0.647058823529412,28,0.066270079853118,-0.09683829042939
28 1998,1998,m,2.66666666666667,0.444444444444444,1.18518518518519,0.592592592592593,0.37037037037037,28,0.066270079853118,-0.09683829042939
28 1999,1999,f,1.57142857142857,0.333333333333333,1.28571428571429,0.404761904761905,0.238095238095238,28,0.066270079853118,-0.09683829042939
28 1999,1999,m,0.571428571428571,0.333333333333333,1.0952380952381,0.642857142857143,0.476190476190476,28,0.066270079853118,-0.09683829042939
28 2000,2000,f,0.666666666666667,0.692307692307692,0.538461538461538,0.730769230769231,0.384615384615385,28,0.066270079853118,-0.527459624466463
28 2000,2000,m,1.11111111111111,0.642857142857143,1.35714285714286,1.03571428571429,0.714285714285714,28,0.066270079853118,-0.527459624466463
28 2001,2001,f,0.6,0.357142857142857,0.714285714285714,0.821428571428571,0.642857142857143,28,0.066270079853118,-0.346145378556116
28 2001,2001,m,1.33333333333333,0.142857142857143,0.952380952380952,0.642857142857143,0.571428571428571,28,0.066270079853118,-0.346145378556116
28 2002,2002,f,1.16666666666667,0.8,1.06666666666667,0.8,0.4,28,0.066270079853118,-0.391473940033703
28 2002,2002,m,1.22222222222222,0.529411764705882,1.11764705882353,0.794117647058823,0.529411764705882,28,0.066270079853118,-0.391473940033703
28 2003,2003,f,1.27272727272727,0.916666666666667,0.666666666666667,0.958333333333333,0.5,28,0.066270079853118,-0.142166851906976
28 2003,2003,m,1,0.409090909090909,0.772727272727273,0.704545454545455,0.5,28,0.066270079853118,-0.142166851906976
28 2004,2004,f,0.666666666666667,0.428571428571429,0.571428571428571,0.928571428571429,0.714285714285714,28,0.066270079853118,-0.550123905205257
28 2004,2004,m,1.33333333333333,0.642857142857143,1.28571428571429,1.25,0.928571428571429,28,0.066270079853118,-0.550123905205257
28 2005,2005,f,0.727272727272727,0.5,0.727272727272727,0.795454545454545,0.545454545454545,28,0.066270079853118,0.061811674742164
28 2005,2005,m,1.73333333333333,0.75,1.55,0.775,0.4,28,0.066270079853118,0.061811674742164
28 2006,2006,f,1.38888888888889,0.9,1.05,1.1,0.65,28,0.066270079853118,-0.36880965929491
28 2006,2006,m,1.4375,0.941176470588235,1.41176470588235,1.05882352941176,0.588235294117647,28,0.066270079853118,-0.36880965929491
28 2007,2007,f,1.5625,0.695652173913043,1.17391304347826,0.652173913043478,0.304347826086957,28,0.066270079853118,0.061811674742164
28 2007,2007,m,1.71428571428571,0.875,0.958333333333333,0.895833333333333,0.458333333333333,28,0.066270079853118,0.061811674742164
28 2008,2008,f,0.214285714285714,0.608695652173913,0.434782608695652,0.478260869565217,0.173913043478261,28,0.066270079853118,0.288454482130097
28 2008,2008,m,1.1,0.416666666666667,0.75,0.666666666666667,0.458333333333333,28,0.066270079853118,0.288454482130097
28 2009,2009,f,0.333333333333333,1.5,0.357142857142857,1.39285714285714,0.642857142857143,28,0.066270079853118,-0.323481097817323
28 2009,2009,m,1.38095238095238,1.23529411764706,1.11764705882353,1.44117647058824,0.823529411764706,28,0.066270079853118,-0.323481097817323
28 2010,2010,f,0.627906976744186,1.79166666666667,0.5,1.22916666666667,0.333333333333333,28,0.066270079853118,0.084475955480957
28 2010,2010,m,1.22448979591837,2.04166666666667,1.08333333333333,1.4375,0.416666666666667,28,0.066270079853118,0.084475955480957
28 2011,2011,f,0.9,0.303030303030303,0.393939393939394,0.606060606060606,0.454545454545455,28,0.066270079853118,1.6483113264577
28 2011,2011,m,1.125,0.205128205128205,0.538461538461538,0.512820512820513,0.41025641025641,28,0.066270079853118,1.6483113264577
28 2012,2012,f,1.38461538461538,0.52,0.88,0.94,0.68,28,0.066270079853118,0.24312592065251
28 2012,2012,m,1.23076923076923,0.464285714285714,1.03571428571429,0.839285714285714,0.607142857142857,28,0.066270079853118,0.24312592065251
38 1999,1999,f,0.875,4,0.5,2.5,0.5,38,-0.626020677259115,-0.31111876286889
38 2000,2000,f,0.545454545454545,1.57142857142857,0.285714285714286,1.35714285714286,0.571428571428571,38,-0.626020677259115,-0.061811674742164
38 2000,2000,m,0.666666666666667,1.875,0.5,1.5625,0.625,38,-0.626020677259115,-0.061811674742164
38 2001,2001,f,0.909090909090909,0.916666666666667,0.5,1.29166666666667,0.833333333333333,38,-0.626020677259115,0.187495413384563
38 2001,2001,m,0.727272727272727,0.785714285714286,0.5,1.03571428571429,0.642857142857143,38,-0.626020677259115,0.187495413384563
38 2002,2002,f,1.08333333333333,0.705882352941177,0.941176470588235,0.882352941176471,0.529411764705882,38,-0.626020677259115,0.210159694123356
38 2002,2002,m,1.25,0.857142857142857,0.857142857142857,1.14285714285714,0.714285714285714,38,-0.626020677259115,0.210159694123356
38 2003,2003,f,1,1.29411764705882,0.941176470588235,1.35294117647059,0.705882352941177,38,-0.626020677259115,0.23282397486215
38 2003,2003,m,1.5625,1.06666666666667,1.2,1.13333333333333,0.6,38,-0.626020677259115,0.23282397486215
38 2004,2004,f,1,0.772727272727273,1.13636363636364,0.977272727272727,0.590909090909091,38,-0.626020677259115,0.64078102816043
38 2004,2004,m,1.125,0.761904761904762,0.857142857142857,1.14285714285714,0.761904761904762,38,-0.626020677259115,0.64078102816043
38 2005,2005,f,1.5,0.275862068965517,1.10344827586207,0.689655172413793,0.551724137931034,38,-0.626020677259115,0.822095274070777
38 2005,2005,m,2.66666666666667,0.25,1.375,0.625,0.5,38,-0.626020677259115,0.822095274070777
38 2006,2006,f,2.33333333333333,0.545454545454545,1.5,0.863636363636364,0.590909090909091,38,-0.626020677259115,0.278152536339736
38 2006,2006,m,1.7,0.714285714285714,2.07142857142857,1.35714285714286,1,38,-0.626020677259115,0.278152536339736
38 2007,2007,f,1.92857142857143,0.736842105263158,1.42105263157895,0.947368421052632,0.578947368421053,38,-0.626020677259115,0.43680250151129
38 2007,2007,m,2.30769230769231,0.65,2.15,0.925,0.6,38,-0.626020677259115,0.43680250151129
38 2008,2008,f,2.08333333333333,0.545454545454545,1.13636363636364,1,0.727272727272727,38,-0.626020677259115,0.618116747421637
38 2008,2008,m,2.3,0.555555555555556,1.77777777777778,1.11111111111111,0.833333333333333,38,-0.626020677259115,0.618116747421637
38 2009,2009,f,1.33333333333333,0.24,1.36,0.4,0.28,38,-0.626020677259115,0.618116747421637
38 2009,2009,m,2.16666666666667,0.315789473684211,2.21052631578947,0.315789473684211,0.157894736842105,38,-0.626020677259115,0.618116747421637
38 2010,2010,f,0.666666666666667,0.230769230769231,1.23076923076923,0.576923076923077,0.461538461538462,38,-0.626020677259115,0.051509728951803
38 2010,2010,m,2,0.25,0.875,0.75,0.625,38,-0.626020677259115,0.051509728951803
38 2011,2011,f,1.85714285714286,1,2.28571428571429,1.35714285714286,0.857142857142857,38,-0.626020677259115,-0.03914739400337
38 2011,2011,m,1.28571428571429,0.777777777777778,1.11111111111111,0.944444444444444,0.555555555555556,38,-0.626020677259115,-0.03914739400337
38 2012,2012,f,1.8,0.5,1.8,0.55,0.3,38,-0.626020677259115,0.006181167474216
38 2012,2012,m,2,0.4,1.1,0.6,0.4,38,-0.626020677259115,0.006181167474216
